"","STG","PEG"
"1",0,0
"2",0.08,0.9
"3",0.06,0.33
"4",0.1,0.3
"5",0.08,0.24
"6",0.09,0.66
"7",0.1,0.56
"8",0.15,0.01
"9",0.2,0.25
"10",0,0.85
"11",0.18,0.81
"12",0.06,0.3
"13",0.1,0.34
"14",0.1,0.9
"15",0.2,0.6
"16",0.12,0.8
"17",0.05,0.05
"18",0.1,0.33
"19",0.15,0.29
"20",0.2,0.56
"21",0.12,0.2
"22",0.18,0.66
"23",0.1,0.65
"24",0.18,0.28
"25",0.06,0.25
"26",0.09,0.85
"27",0.04,0.1
"28",0.09,0.25
"29",0.08,0.56
"30",0.15,0.81
"31",0.12,0.59
"32",0.15,0.24
"33",0.1,0.16
"34",0.18,0.82
"35",0.2,0.78
"36",0.06,0.29
"37",0.1,0.26
"38",0.18,0.33
"39",0.09,0
"40",0.19,0.45
"41",0.02,0.1
"42",0.2,0.78
"43",0.14,0.6
"44",0.18,0.25
"45",0.115,0.04
"46",0.17,0.66
"47",0.1,0.62
"48",0.13,0.77
"49",0.18,0.9
"50",0.09,0.67
"51",0.06,0.25
"52",0.23,0.45
"53",0.09,0.05
"54",0.24,0.86
"55",0.18,0.55
"56",0.1,0.26
"57",0.2,0.25
"58",0.09,0.59
"59",0.18,0.82
"60",0.08,0.1
"61",0.09,0.01
"62",0.06,0.56
"63",0.15,0.51
"64",0.2,0.28
"65",0.24,0.28
"66",0.25,0.15
"67",0.32,0.24
"68",0.29,0.51
"69",0.28,0.32
"70",0.3,0.67
"71",0.27,0.58
"72",0.31,0.75
"73",0.29,0.08
"74",0.3,0.53
"75",0.28,0.78
"76",0.255,0.1
"77",0.265,0.1
"78",0.275,0.3
"79",0.245,0.2
"80",0.295,0.28
"81",0.32,0.24
"82",0.295,0.67
"83",0.315,0.62
"84",0.25,0.26
"85",0.27,0.25
"86",0.248,0.03
"87",0.325,0.79
"88",0.27,0.28
"89",0.29,0.18
"90",0.29,0.67
"91",0.258,0.56
"92",0.32,0.34
"93",0.251,0.09
"94",0.288,0.24
"95",0.323,0.8
"96",0.255,0.15
"97",0.295,0.19
"98",0.258,0.77
"99",0.29,0.57
"100",0.243,0.29
"101",0.27,0.26
"102",0.299,0.87
"103",0.3,0.54
"104",0.245,0.27
"105",0.295,0.1
"106",0.29,0.67
"107",0.26,0.59
"108",0.305,0.54
"109",0.32,0.3
"110",0.299,0.84
"111",0.276,0.33
"112",0.258,0.3
"113",0.32,0.58
"114",0.329,0.79
"115",0.295,0.55
"116",0.285,0.45
"117",0.265,0.07
"118",0.315,0.7
"119",0.28,0.66
"120",0.325,0.81
"121",0.28,0.13
"122",0.255,0.25
"123",0.305,0.333
"124",0.3,0.83
"125",0.325,0.76
"126",0.312,0.5
"127",0.299,0.66
"128",0.265,0.28
"129",0.255,0.14
"130",0.295,0.28
"131",0.39,0.34
"132",0.4,0.67
"133",0.45,0.07
"134",0.48,0.71
"135",0.4,0.65
"136",0.41,0.5
"137",0.38,0.26
"138",0.37,0.1
"139",0.41,0.58
"140",0.38,0.3
"141",0.33,0.1
"142",0.42,0.4
"143",0.44,0.56
"144",0.39,0.29
"145",0.42,0.48
"146",0.46,0.65
"147",0.365,0.35
"148",0.33,0.1
"149",0.345,0.13
"150",0.48,0.77
"151",0.49,0.86
"152",0.334,0.3
"153",0.36,0.13
"154",0.39,0.14
"155",0.43,0.64
"156",0.44,0.52
"157",0.45,0.51
"158",0.495,0.83
"159",0.465,0.59
"160",0.475,0.54
"161",0.348,0.18
"162",0.385,0.3
"163",0.445,0.88
"164",0.43,0.89
"165",0.33,0.12
"166",0.4,0.9
"167",0.34,0.61
"168",0.38,0.78
"169",0.35,0.16
"170",0.41,0.92
"171",0.42,0.25
"172",0.43,0.49
"173",0.44,0.85
"174",0.4,0.16
"175",0.46,0.66
"176",0.38,0.3
"177",0.39,0.19
"178",0.49,0.71
"179",0.46,0.6
"180",0.44,0.83
"181",0.365,0.18
"182",0.45,0.55
"183",0.46,0.89
"184",0.37,0.3
"185",0.38,0.2
"186",0.49,0.21
"187",0.495,0.93
"188",0.44,0.57
"189",0.365,0.25
"190",0.49,0.47
"191",0.445,0.64
"192",0.42,0.8
"193",0.37,0.5
"194",0.4,0.67
"195",0.6,0.66
"196",0.55,0.29
"197",0.68,0.1
"198",0.73,0.26
"199",0.78,0.63
"200",0.55,0.1
"201",0.59,0.09
"202",0.64,0.5
"203",0.6,0.1
"204",0.69,0.29
"205",0.78,0.75
"206",0.62,0.15
"207",0.7,0.66
"208",0.75,0.53
"209",0.55,0.11
"210",0.85,0.68
"211",0.78,0.62
"212",0.8,0.51
"213",0.9,0.79
"214",0.76,0.34
"215",0.72,0.6
"216",0.6,0.3
"217",0.52,0.3
"218",0.6,0.58
"219",0.51,0.64
"220",0.58,0.3
"221",0.61,0.24
"222",0.77,0.28
"223",0.79,0.66
"224",0.68,0.57
"225",0.58,0.21
"226",0.77,0.68
"227",0.71,0.59
"228",0.58,0.31
"229",0.88,0.78
"230",0.99,0.69
"231",0.73,0.65
"232",0.61,0.28
"233",0.51,0.23
"234",0.83,0.66
"235",0.66,0.62
"236",0.58,0.3
"237",0.523,0.22
"238",0.66,0.83
"239",0.62,0.64
"240",0.52,0.52
"241",0.5,0.2
"242",0.71,0.86
"243",0.64,0.63
"244",0.52,0.25
"245",0.62,0.25
"246",0.91,0.88
"247",0.62,0.66
"248",0.58,0.29
"249",0.89,0.9
"250",0.72,0.45
"251",0.68,0.66
"252",0.56,0.5
"253",0.54,0.19
"254",0.61,0.58
"255",0.78,0.6
"256",0.54,0.77
"257",0.5,0.26
"258",0.66,0.74
